ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
"10,318.00",46.00,94.74,1.00,"4,358.04",11/2/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,95.00,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
"10,329.00",42.00,100.00,1.00,"4,396.14",11/15/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,United States,NA,Yu,Kwai
"10,341.00",41.00,100.00,9.00,"7,737.93",11/24/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,95.00,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
"10,361.00",20.00,72.55,13.00,"1,451.00",12/17/2004 0:00,Shipped,4.00,12.00,"2,004.00",Motorcycles,95.00,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
"10,375.00",21.00,34.91,12.00,733.11,2/3/2005 0:00,Shipped,1.00,2.00,"2,005.00",Motorcycles,95.00,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
"10,388.00",42.00,76.36,4.00,"3,207.12",3/3/2005 0:00,Shipped,1.00,3.00,"2,005.00",Motorcycles,95.00,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta
"10,403.00",24.00,100.00,7.00,"2,434.56",4/8/2005 0:00,Shipped,2.00,4.00,"2,005.00",Motorcycles,95.00,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
"10,417.00",66.00,100.00,2.00,"7,516.08",5/13/2005 0:00,Disputed,2.00,5.00,"2,005.00",Motorcycles,95.00,S10_1678,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
"10,103.00",26.00,100.00,11.00,"5,404.62",1/29/2003 0:00,Shipped,1.00,1.00,"2,003.00",Classic Cars,214.00,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
"10,112.00",29.00,100.00,1.00,"7,209.11",3/24/2003 0:00,Shipped,1.00,3.00,"2,003.00",Classic Cars,214.00,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,BerguvsvÑgen  8,,LuleÜ,,S-958 22,Sweden,EMEA,Berglund,Christina
"10,126.00",38.00,100.00,11.00,"7,329.06",5/28/2003 0:00,Shipped,2.00,5.00,"2,003.00",Classic Cars,214.00,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n
"10,140.00",37.00,100.00,11.00,"7,374.10",7/24/2003 0:00,Shipped,3.00,7.00,"2,003.00",Classic Cars,214.00,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
"10,150.00",45.00,100.00,8.00,"10,993.50",9/19/2003 0:00,Shipped,3.00,9.00,"2,003.00",Classic Cars,214.00,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,079903,Singapore,Japan,Natividad,Eric
"10,163.00",21.00,100.00,1.00,"4,860.24",10/20/2003 0:00,Shipped,4.00,10.00,"2,003.00",Classic Cars,214.00,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,United States,NA,Hernandez,Maria
"10,174.00",34.00,100.00,4.00,"8,014.82",11/6/2003 0:00,Shipped,4.00,11.00,"2,003.00",Classic Cars,214.00,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
"10,183.00",23.00,100.00,8.00,"5,372.57",11/13/2003 0:00,Shipped,4.00,11.00,"2,003.00",Classic Cars,214.00,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca
"10,194.00",42.00,100.00,11.00,"7,290.36",11/25/2003 0:00,Shipped,4.00,11.00,"2,003.00",Classic Cars,214.00,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary
"10,206.00",47.00,100.00,6.00,"9,064.89",12/5/2003 0:00,Shipped,4.00,12.00,"2,003.00",Classic Cars,214.00,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi
"10,215.00",35.00,100.00,3.00,"6,075.30",1/29/2004 0:00,Shipped,1.00,1.00,"2,004.00",Classic Cars,214.00,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,United States,NA,Thompson,Steve
"10,228.00",29.00,100.00,2.00,"6,463.23",3/10/2004 0:00,Shipped,1.00,3.00,"2,004.00",Classic Cars,214.00,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung
"10,245.00",34.00,100.00,9.00,"6,120.34",5/4/2004 0:00,Shipped,2.00,5.00,"2,004.00",Classic Cars,214.00,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,United States,NA,Murphy,Leslie
"10,258.00",32.00,100.00,6.00,"7,680.64",6/15/2004 0:00,Shipped,2.00,6.00,"2,004.00",Classic Cars,214.00,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
"10,270.00",21.00,100.00,9.00,"4,905.39",7/19/2004 0:00,Shipped,3.00,7.00,"2,004.00",Classic Cars,214.00,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
"10,280.00",34.00,100.00,2.00,"8,014.82",8/17/2004 0:00,Shipped,3.00,8.00,"2,004.00",Classic Cars,214.00,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo
"10,291.00",37.00,100.00,11.00,"7,136.19",9/8/2004 0:00,Shipped,3.00,9.00,"2,004.00",Classic Cars,214.00,S10_1949,Scandinavian Gift Ideas,0695-34 6555,èkergatan 24,,BrÑcke,,S-844 67,Sweden,EMEA,Larsson,Maria
"10,304.00",47.00,100.00,6.00,"10,172.70",10/11/2004 0:00,Shipped,4.00,10.00,"2,004.00",Classic Cars,214.00,S10_1949,Auto AssociÇs & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel
"10,312.00",48.00,100.00,3.00,"11,623.70",10/21/2004 0:00,Shipped,4.00,10.00,"2,004.00",Classic Cars,214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
"10,322.00",40.00,100.00,1.00,"6,000.40",11/4/2004 0:00,Shipped,4.00,11.00,"2,004.00",Classic Cars,214.00,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie
"10,333.00",26.00,100.00,3.00,"3,003.00",11/18/2004 0:00,Shipped,4.00,11.00,"2,004.00",Classic Cars,214.00,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,United States,NA,Murphy,Julie
"10,347.00",30.00,100.00,1.00,"3,944.70",11/29/2004 0:00,Shipped,4.00,11.00,"2,004.00",Classic Cars,214.00,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
"10,357.00",32.00,100.00,10.00,"5,691.84",12/10/2004 0:00,Shipped,4.00,12.00,"2,004.00",Classic Cars,214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,United States,NA,Nelson,Valarie
"10,369.00",41.00,100.00,2.00,"4,514.92",1/20/2005 0:00,Shipped,1.00,1.00,"2,005.00",Classic Cars,214.00,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen
"10,381.00",36.00,100.00,3.00,"8,254.80",2/17/2005 0:00,Shipped,1.00,2.00,"2,005.00",Classic Cars,214.00,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie
"10,391.00",24.00,100.00,4.00,"2,416.56",3/9/2005 0:00,Shipped,1.00,3.00,"2,005.00",Classic Cars,214.00,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna
"10,411.00",23.00,100.00,9.00,"4,140.23",5/1/2005 0:00,Shipped,2.00,5.00,"2,005.00",Classic Cars,214.00,S10_1949,QuÇbec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,MontrÇal,QuÇbec,H1J 1C3,Canada,NA,Fresniäre,Jean
"10,424.00",50.00,100.00,6.00,"12,001.00",5/31/2005 0:00,In Process,2.00,5.00,"2,005.00",Classic Cars,214.00,S10_1949,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
"10,107.00",39.00,99.91,5.00,"3,896.49",2/24/2003 0:00,Shipped,1.00,2.00,"2,003.00",Motorcycles,118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
"10,120.00",29.00,96.34,3.00,"2,793.86",4/29/2003 0:00,Shipped,2.00,4.00,"2,003.00",Motorcycles,118.00,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
"10,134.00",27.00,100.00,5.00,"3,307.77",7/1/2003 0:00,Shipped,3.00,7.00,"2,003.00",Motorcycles,118.00,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
"10,145.00",37.00,100.00,9.00,"5,192.95",8/25/2003 0:00,Shipped,3.00,8.00,"2,003.00",Motorcycles,118.00,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie
"10,159.00",37.00,100.00,17.00,"5,016.83",10/10/2003 0:00,Shipped,4.00,10.00,"2,003.00",Motorcycles,118.00,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie
"10,168.00",27.00,100.00,4.00,"3,660.93",10/28/2003 0:00,Shipped,4.00,10.00,"2,003.00",Motorcycles,118.00,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
"10,180.00",42.00,100.00,12.00,"4,695.60",11/11/2003 0:00,Shipped,4.00,11.00,"2,003.00",Motorcycles,118.00,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chaussÇe de Tournai",,Lille,,59000,France,EMEA,RancÇ,Martine
"10,188.00",38.00,96.34,4.00,"3,660.92",11/18/2003 0:00,Shipped,4.00,11.00,"2,003.00",Motorcycles,118.00,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
"10,201.00",24.00,100.00,5.00,"3,025.92",12/1/2003 0:00,Shipped,4.00,12.00,"2,003.00",Motorcycles,118.00,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie
"10,210.00",23.00,100.00,2.00,"3,009.09",1/12/2004 0:00,Shipped,1.00,1.00,"2,004.00",Motorcycles,118.00,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka, 530-0003,Japan,Japan,Kentary,Mory
"10,223.00",47.00,100.00,4.00,"5,422.39",2/20/2004 0:00,Shipped,1.00,2.00,"2,004.00",Motorcycles,118.00,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
"10,236.00",22.00,100.00,1.00,"2,852.08",4/3/2004 0:00,Shipped,2.00,4.00,"2,004.00",Motorcycles,118.00,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa
"10,251.00",44.00,100.00,5.00,"5,756.52",5/18/2004 0:00,Shipped,2.00,5.00,"2,004.00",Motorcycles,118.00,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William
"10,263.00",40.00,100.00,5.00,"4,472.00",6/28/2004 0:00,Shipped,2.00,6.00,"2,004.00",Motorcycles,118.00,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie
"10,275.00",22.00,100.00,4.00,"2,904.44",7/23/2004 0:00,Shipped,3.00,7.00,"2,004.00",Motorcycles,118.00,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
"10,285.00",47.00,100.00,9.00,"6,484.59",8/27/2004 0:00,Shipped,3.00,8.00,"2,004.00",Motorcycles,118.00,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta
"10,298.00",39.00,96.34,1.00,"3,757.26",9/27/2004 0:00,Shipped,3.00,9.00,"2,004.00",Motorcycles,118.00,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine
"10,308.00",34.00,100.00,2.00,"4,043.96",10/15/2004 0:00,Shipped,4.00,10.00,"2,004.00",Motorcycles,118.00,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve
"10,318.00",45.00,100.00,4.00,"5,566.50",11/2/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,118.00,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
"10,329.00",20.00,100.00,2.00,"3,176.00",11/15/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
"10,339.00",40.00,68.92,4.00,"2,756.80",11/23/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,118.00,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
"10,361.00",26.00,51.15,8.00,"1,329.90",12/17/2004 0:00,Shipped,4.00,12.00,"2,004.00",Motorcycles,118.00,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
"10,374.00",39.00,100.00,5.00,"5,288.01",2/2/2005 0:00,Shipped,1.00,2.00,"2,005.00",Motorcycles,118.00,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
"10,388.00",50.00,44.51,5.00,"2,225.50",3/3/2005 0:00,Shipped,1.00,3.00,"2,005.00",Motorcycles,118.00,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta
"10,402.00",45.00,100.00,1.00,"5,833.80",4/7/2005 0:00,Shipped,2.00,4.00,"2,005.00",Motorcycles,118.00,S10_2016,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique
"10,417.00",45.00,100.00,5.00,"5,887.35",5/13/2005 0:00,Disputed,2.00,5.00,"2,005.00",Motorcycles,118.00,S10_2016,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
"10,107.00",27.00,100.00,4.00,"6,065.55",2/24/2003 0:00,Shipped,1.00,2.00,"2,003.00",Motorcycles,193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
"10,120.00",46.00,100.00,2.00,"9,264.86",4/29/2003 0:00,Shipped,2.00,4.00,"2,003.00",Motorcycles,193.00,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
"10,134.00",31.00,100.00,4.00,"7,023.98",7/1/2003 0:00,Shipped,3.00,7.00,"2,003.00",Motorcycles,193.00,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
"10,145.00",33.00,100.00,8.00,"5,176.38",8/25/2003 0:00,Shipped,3.00,8.00,"2,003.00",Motorcycles,193.00,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie
"10,159.00",22.00,100.00,16.00,"4,132.70",10/10/2003 0:00,Shipped,4.00,10.00,"2,003.00",Motorcycles,193.00,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie
"10,168.00",20.00,100.00,3.00,"4,183.00",10/28/2003 0:00,Shipped,4.00,10.00,"2,003.00",Motorcycles,193.00,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
"10,180.00",41.00,100.00,11.00,"8,892.90",11/11/2003 0:00,Shipped,4.00,11.00,"2,003.00",Motorcycles,193.00,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chaussÇe de Tournai",,Lille,,59000,France,EMEA,RancÇ,Martine
"10,188.00",45.00,100.00,3.00,"8,714.70",11/18/2003 0:00,Shipped,4.00,11.00,"2,003.00",Motorcycles,193.00,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
"10,201.00",49.00,100.00,4.00,"8,065.89",12/1/2003 0:00,Shipped,4.00,12.00,"2,003.00",Motorcycles,193.00,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie
"10,210.00",34.00,100.00,1.00,"6,123.40",1/12/2004 0:00,Shipped,1.00,1.00,"2,004.00",Motorcycles,193.00,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka, 530-0003,Japan,Japan,Kentary,Mory
"10,223.00",49.00,100.00,3.00,"9,774.03",2/20/2004 0:00,Shipped,1.00,2.00,"2,004.00",Motorcycles,193.00,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
"10,237.00",39.00,100.00,9.00,"7,023.90",4/5/2004 0:00,Shipped,2.00,4.00,"2,004.00",Motorcycles,193.00,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael
"10,251.00",43.00,100.00,4.00,"7,078.23",5/18/2004 0:00,Shipped,2.00,5.00,"2,004.00",Motorcycles,193.00,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William
"10,263.00",41.00,100.00,4.00,"8,336.94",6/28/2004 0:00,Shipped,2.00,6.00,"2,004.00",Motorcycles,193.00,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie
"10,275.00",36.00,100.00,3.00,"6,901.92",7/23/2004 0:00,Shipped,3.00,7.00,"2,004.00",Motorcycles,193.00,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
"10,285.00",27.00,100.00,8.00,"5,438.07",8/27/2004 0:00,Shipped,3.00,8.00,"2,004.00",Motorcycles,193.00,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta
"10,299.00",29.00,100.00,11.00,"6,683.34",9/30/2004 0:00,Shipped,3.00,9.00,"2,004.00",Motorcycles,193.00,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
"10,308.00",20.00,100.00,1.00,"4,570.40",10/15/2004 0:00,Shipped,4.00,10.00,"2,004.00",Motorcycles,193.00,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve
"10,318.00",37.00,100.00,3.00,"7,667.14",11/2/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,193.00,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
"10,329.00",26.00,100.00,3.00,"5,868.20",11/15/2004 0:00,Shipped,4.00,11.00,"2,004.00",Motorcycles,193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
